iter	Passed	Remaining
0	0	797
1	1	753
2	2	724
3	2	708
4	3	702
5	4	688
6	4	681
7	5	673
8	6	669
9	6	661
10	7	654
11	7	650
12	8	644
13	9	638
14	9	638
15	10	628
16	10	624
17	11	622
18	12	630
19	13	647
20	13	649
21	14	652
22	15	653
23	16	653
24	16	653
25	17	650
26	18	649
27	18	649
28	19	650
29	20	651
30	20	650
31	21	649
32	22	648
33	22	646
34	23	644
35	24	643
36	24	648
37	25	649
38	26	649
39	27	660
40	28	678
41	29	679
42	30	676
43	31	676
44	31	673
45	32	672
46	33	672
47	33	673
48	34	672
49	35	670
50	35	669
51	36	666
52	37	665
53	37	663
54	38	661
55	39	658
56	40	662
57	40	664
58	41	661
59	42	660
60	42	661
61	43	660
62	44	660
63	45	658
64	45	657
65	46	655
66	46	654
67	47	652
68	48	650
69	48	648
70	49	646
71	49	644
72	50	642
73	51	641
74	51	639
75	52	637
76	53	635
77	53	634
78	54	634
79	55	633
80	55	632
81	56	631
82	56	626
83	57	625
84	58	627
85	59	628
86	59	627
87	60	626
88	61	625
89	61	623
90	62	622
91	63	622
92	63	620
93	64	619
94	64	618
95	65	616
96	66	614
97	66	613
98	67	612
99	67	610
100	68	609
101	69	611
102	70	610
103	70	610
104	71	610
105	72	609
106	73	610
107	73	610
108	74	611
109	75	610
110	76	609
111	76	608
112	77	609
113	78	611
114	79	611
115	80	609
116	80	607
117	81	605
118	81	604
119	82	603
120	82	602
121	83	600
122	84	600
123	84	598
124	85	596
125	85	595
126	86	592
127	86	591
128	87	589
129	87	588
130	88	589
131	89	588
132	90	587
133	90	586
134	91	586
135	92	585
136	92	585
137	93	583
138	93	582
139	94	580
140	95	578
141	95	576
142	95	574
143	96	573
144	96	571
145	97	570
146	98	569
147	98	568
148	99	567
149	99	566
150	100	565
151	101	564
152	101	562
153	102	561
154	102	559
155	103	559
156	104	561
157	105	560
158	105	559
159	106	559
160	106	556
161	107	556
162	108	555
163	108	554
164	109	553
165	109	552
166	110	551
167	111	549
168	111	548
169	112	547
170	112	546
171	113	545
172	113	544
173	115	546
174	115	546
175	116	545
176	117	544
177	117	543
178	118	543
179	119	546
180	120	545
181	121	544
182	121	543
183	122	542
184	122	540
185	123	539
186	123	538
187	124	536
188	124	535
189	125	536
190	126	536
191	127	535
192	127	534
193	128	533
194	128	532
195	129	531
196	129	529
197	130	528
198	130	527
199	131	525
200	132	525
201	132	524
202	133	522
203	134	523
204	135	524
205	135	523
206	136	521
207	136	520
208	137	519
209	137	518
210	138	517
211	138	516
212	139	516
213	140	515
214	141	515
215	141	514
216	142	513
217	143	513
218	143	512
219	144	511
220	144	510
221	145	509
222	145	508
223	146	507
224	147	506
225	147	505
226	148	504
227	148	503
228	149	503
229	150	503
230	151	503
231	151	502
232	152	502
233	153	502
234	153	501
235	154	500
236	155	499
237	155	497
238	156	496
239	156	495
240	157	494
241	157	494
242	158	493
243	158	492
244	159	491
245	159	489
246	160	488
247	160	487
248	161	486
249	161	485
250	162	484
251	162	483
252	163	482
253	164	481
254	165	482
255	165	482
256	166	481
257	167	480
258	167	479
259	168	479
260	168	478
261	169	477
262	169	476
263	170	475
264	171	474
265	171	473
266	172	472
267	172	472
268	173	471
269	173	470
270	174	469
271	174	468
272	175	467
273	175	466
274	176	465
275	176	464
276	177	463
277	177	462
278	178	461
279	179	460
280	180	461
281	181	460
282	181	460
283	182	459
284	183	459
285	183	458
286	184	457
287	184	456
288	185	456
289	186	456
290	186	455
291	187	454
292	188	454
293	188	453
294	189	452
295	189	451
296	190	450
297	190	449
298	191	448
299	192	448
300	192	447
301	193	446
302	193	445
303	194	444
304	194	444
305	196	445
306	196	444
307	197	443
308	197	442
309	198	442
310	199	441
311	200	441
312	200	440
313	201	440
314	202	439
315	202	438
316	203	437
317	203	436
318	204	435
319	204	435
320	205	434
321	205	433
322	206	433
323	207	432
324	207	431
325	208	430
326	208	429
327	209	428
328	210	428
329	211	428
330	211	427
331	212	427
332	212	426
333	213	425
334	214	424
335	214	424
336	215	423
337	215	422
338	216	421
339	216	420
340	217	419
341	217	418
342	218	418
343	218	417
344	219	416
345	219	415
346	220	414
347	221	414
348	221	413
349	222	412
350	222	411
351	223	410
352	223	409
353	224	408
354	224	408
355	225	408
356	226	407
357	226	407
358	227	406
359	228	405
360	228	404
361	229	403
362	229	403
363	230	402
364	230	401
365	231	400
366	231	399
367	232	399
368	232	398
369	233	397
370	233	396
371	234	395
372	234	394
373	235	394
374	236	393
375	236	392
376	237	391
377	237	390
378	238	390
379	238	389
380	239	388
381	239	387
382	240	387
383	241	387
384	242	386
385	242	386
386	243	385
387	243	384
388	244	383
389	244	383
390	245	382
391	245	381
392	246	380
393	246	379
394	247	379
395	248	379
396	249	378
397	249	377
398	250	376
399	250	376
400	251	375
401	251	374
402	252	373
403	252	373
404	253	372
405	254	371
406	254	370
407	255	370
408	255	369
409	256	369
410	257	368
411	257	367
412	258	367
413	258	366
414	259	365
415	259	364
416	260	364
417	261	363
418	261	362
419	262	361
420	262	361
421	263	360
422	263	359
423	264	358
424	264	358
425	265	357
426	265	356
427	266	355
428	266	355
429	267	354
430	268	353
431	268	353
432	269	352
433	269	351
434	270	350
435	270	350
436	271	350
437	272	349
438	273	349
439	273	348
440	274	347
441	275	347
442	276	347
443	276	346
444	277	346
445	278	345
446	278	344
447	279	343
448	279	343
449	280	342
450	280	341
451	281	340
452	281	340
453	282	339
454	282	338
455	283	337
456	283	337
457	284	336
458	284	335
459	285	335
460	285	334
461	287	334
462	287	333
463	288	333
464	289	332
465	289	332
466	290	331
467	291	331
468	291	330
469	292	329
470	292	328
471	293	328
472	293	327
473	294	326
474	294	325
475	295	325
476	296	324
477	296	324
478	297	323
479	297	322
480	298	322
481	298	321
482	299	320
483	300	319
484	300	319
485	301	318
486	302	318
487	303	318
488	303	317
489	304	317
490	305	316
491	306	316
492	306	315
493	307	314
494	307	313
495	308	313
496	308	312
497	309	311
498	310	311
499	311	311
500	311	310
501	312	309
502	313	309
503	313	308
504	314	307
505	314	307
506	315	306
507	315	305
508	316	305
509	317	304
510	317	304
511	318	303
512	319	302
513	319	302
514	320	301
515	320	300
516	321	300
517	321	299
518	322	298
519	322	297
520	323	297
521	323	296
522	324	295
523	324	295
524	325	294
525	326	293
526	327	293
527	327	293
528	328	292
529	328	291
530	329	291
531	330	290
532	330	289
533	331	288
534	331	288
535	332	288
536	333	287
537	333	286
538	334	286
539	334	285
540	335	284
541	336	283
542	336	283
543	337	282
544	337	281
545	338	281
546	339	281
547	340	280
548	340	280
549	341	279
550	342	278
551	342	278
552	343	277
553	343	276
554	344	275
555	344	275
556	345	274
557	345	273
558	346	273
559	346	272
560	347	272
561	348	271
562	349	271
563	349	270
564	350	269
565	351	269
566	351	268
567	352	267
568	352	267
569	353	266
570	353	265
571	354	265
572	355	264
573	355	263
574	356	263
575	356	262
576	357	262
577	357	261
578	358	260
579	359	260
580	360	259
581	360	259
582	361	258
583	362	257
584	363	257
585	363	256
586	364	256
587	364	255
588	365	254
589	365	254
590	367	254
591	367	253
592	368	252
593	369	252
594	369	251
595	370	250
596	370	250
597	371	249
598	371	248
599	372	248
600	373	247
601	373	247
602	374	246
603	374	245
604	375	244
605	375	244
606	376	243
607	376	242
608	377	242
609	378	242
610	379	241
611	379	240
612	380	240
613	381	239
614	381	238
615	382	238
616	382	237
617	383	236
618	383	236
619	384	235
620	384	234
621	385	234
622	385	233
623	386	232
624	386	232
625	387	231
626	387	230
627	388	230
628	388	229
629	389	228
630	389	228
631	390	227
632	390	226
633	391	225
634	391	225
635	392	224
636	393	224
637	394	223
638	395	223
639	395	222
640	396	222
641	396	221
642	397	220
643	398	220
644	398	219
645	399	218
646	399	218
647	400	217
648	400	216
649	401	216
650	401	215
651	402	214
652	402	214
653	403	213
654	404	212
655	404	212
656	405	211
657	405	210
658	406	210
659	406	209
660	407	208
661	407	208
662	408	207
663	409	207
664	410	206
665	410	205
666	411	205
667	411	204
668	412	203
669	412	203
670	413	202
671	413	201
672	414	201
673	414	200
674	415	200
675	416	199
676	416	198
677	417	198
678	417	197
679	418	196
680	418	196
681	419	195
682	419	194
683	420	194
684	420	193
685	421	192
686	421	192
687	422	191
688	423	191
689	424	190
690	425	190
691	426	189
692	426	188
693	427	188
694	427	187
695	428	187
696	428	186
697	429	185
698	429	185
699	430	184
700	430	183
701	431	183
702	431	182
703	432	181
704	432	181
705	433	180
706	433	179
707	434	179
708	435	178
709	435	177
710	436	177
711	436	176
712	437	175
713	438	175
714	439	175
715	439	174
716	440	173
717	441	173
718	441	172
719	442	171
720	442	171
721	443	170
722	443	170
723	444	169
724	444	168
725	445	168
726	445	167
727	446	166
728	447	166
729	447	165
730	448	165
731	449	164
732	450	164
733	450	163
734	451	162
735	451	162
736	452	161
737	453	160
738	454	160
739	454	159
740	455	159
741	455	158
742	456	157
743	457	157
744	457	156
745	458	156
746	458	155
747	459	154
748	459	154
749	460	153
750	460	152
751	461	152
752	461	151
753	462	150
754	463	150
755	463	149
756	464	148
757	464	148
758	465	147
759	465	147
760	466	146
761	466	145
762	467	145
763	468	144
764	469	144
765	469	143
766	470	142
767	471	142
768	471	141
769	472	141
770	473	140
771	473	139
772	474	139
773	474	138
774	475	137
775	475	137
776	476	136
777	476	136
778	477	135
779	477	134
780	478	134
781	478	133
782	479	132
783	479	132
784	480	131
785	480	130
786	481	130
787	482	129
788	482	129
789	483	128
790	484	128
791	485	127
792	485	126
793	486	126
794	487	125
795	487	124
796	488	124
797	488	123
798	489	123
799	489	122
800	490	121
801	490	121
802	491	120
803	491	119
804	492	119
805	492	118
806	493	118
807	493	117
808	494	116
809	494	116
810	495	115
811	496	114
812	497	114
813	498	113
814	499	113
815	500	112
816	500	112
817	501	111
818	501	110
819	502	110
820	502	109
821	503	108
822	503	108
823	504	107
824	504	107
825	505	106
826	505	105
827	506	105
828	507	104
829	507	103
830	508	103
